Wavelength_(nm),Intensity270_(Counts),Intensity250_(Counts),Intensity230_(Counts),Intensity210_(Counts),Intensity190_(Counts),Intensity170_(Counts),Intensity130_(Counts),Intensity110_(Counts),Intensity90_(Counts),Intensity50_(Counts),Intensity30_(Counts),Intensity10_(Counts),Intensity4_(Counts)
187.928,-6.31,-8.2,-6.65,-12.75,-13.57,-22.44,11.21,6.65,6.46,20.71,25.34,34.28,26.39
188.405,-6.31,-8.2,-6.65,-12.75,-13.57,-22.44,11.21,6.65,6.46,20.71,25.34,34.28,26.39
188.882,-6.31,-8.2,-6.65,-12.75,-13.57,-22.44,11.21,6.65,6.46,20.71,25.34,34.28,26.39
189.359,-0.91,-3.2,-1.25,-8.75,-9.98,-13.24,23.41,17.05,20.06,27.71,39.14,44.08,32.19
189.835,1.09,-8.4,-4.05,-7.95,-9.98,-8.84,10.41,8.25,15.06,25.11,37.94,36.68,37.99
190.312,-0.51,14.6,2.35,4.85,14.22,12.76,-2.19,-5.95,-12.74,-14.29,-24.26,-28.52,-25.61
190.789,3.89,-4.8,4.35,7.25,5.22,11.96,2.21,-2.15,-2.74,-2.69,-10.66,-5.93,-14.61
191.265,1.29,2.6,2.35,3.45,-1.17,-2.84,6.41,-1.75,9.06,6.71,11.34,17.48,10.59
191.742,4.69,-2.6,0.55,-0.35,0.42,-1.44,4.81,9.45,12.66,10.71,10.94,12.27,12.59
192.219,9.69,6.6,9.55,8.25,7.83,6.96,-0.39,1.45,-1.14,-3.89,-11.86,-17.52,-9.41
192.695,-8.71,-8.2,-8.25,-11.75,-6.38,-5.84,-14.59,-12.35,-16.54,-15.69,-16.46,-26.32,-19.21
193.172,0.29,-2.2,-6.45,0.05,0.43,1.76,-9.59,-5.15,-9.14,-1.09,-7.26,-14.12,-10.01
193.648,3.09,0,0.35,5.85,6.23,7.56,-1.99,-0.35,3.66,-3.09,1.74,4.68,6.59
194.125,3.49,9.6,5.35,3.05,-0.18,-9.04,-2.19,5.05,-3.74,-3.09,-3.46,-0.32,-1.61
194.601,-7.91,-5.6,-8.65,-3.95,0.42,3.76,-0.59,-1.35,-11.34,-13.69,-17.06,-9.32,-13.01
195.077,-4.31,0.6,2.55,6.25,11.82,9.96,-6.59,-19.15,-4.54,-16.89,-19.86,-23.52,-22.61
195.554,-3.11,6.4,3.95,0.25,-1.98,0.36,-5.59,-2.15,-1.34,-4.49,-1.26,-6.12,0.19
196.03,4.29,2.8,3.95,6.25,-3.38,8.56,-14.79,2.45,-3.74,-12.09,-14.26,-17.73,-10.41
196.506,0.29,-1.4,1.15,-3.95,-4.38,1.16,3.41,3.45,-3.34,0.51,1.54,1.88,6.19
196.983,0.09,2,3.15,10.45,3.02,3.96,4.01,1.85,-2.54,-8.09,-3.06,-5.12,-5.21
197.459,5.09,6.4,1.95,2.65,3.23,2.16,-5.59,2.05,8.66,2.71,-0.26,5.28,4.19
197.935,-1.71,-0.4,2.95,-0.35,-3.57,3.96,-17.39,-3.55,-12.54,-18.69,-26.06,-23.52,-21.81
198.411,-3.31,-4.4,-9.25,-6.35,-11.17,-10.44,-0.79,2.45,-6.74,3.11,-6.06,-1.92,-4.61
198.887,-2.91,-1,-3.05,5.45,0.83,-12.04,5.21,-1.55,2.26,1.31,-2.26,7.68,-0.41
199.363,-1.51,-2.4,1.15,-4.15,-5.38,-0.44,6.41,3.65,4.26,7.51,9.74,10.88,12.59
199.839,-4.11,1,-0.85,-6.15,-6.38,0.16,-6.79,-6.35,2.06,-1.69,-6.86,-5.12,-2.81
200.315,-10.51,-7.6,-3.45,-0.15,2.62,-3.64,0.01,1.05,-4.54,0.31,-0.06,-2.73,2.79
200.791,-8.51,-9.4,-9.45,4.85,3.82,1.76,-4.59,-9.75,0.66,-11.09,-14.86,-4.93,-7.01
201.267,2.29,1.8,3.15,0.65,-3.77,1.76,3.41,0.65,2.26,1.51,3.14,7.68,3.79
201.743,15.49,7.8,11.95,9.85,4.23,4.16,9.61,19.85,8.46,5.91,4.74,6.88,16.59
202.219,-1.11,1.4,0.95,-4.95,-2.98,-4.24,-6.79,-3.95,-9.94,-6.09,-6.66,-9.93,-3.81
202.695,13.69,27.4,25.35,37.25,49.83,50.16,-25.59,-29.55,-26.94,-62.09,-75.46,-77.32,-73.41
203.171,1.89,5.2,1.15,4.65,1.43,1.56,-1.59,0.45,1.66,-2.09,2.54,0.68,-5.41
203.647,7.09,-1.8,-0.65,6.05,5.42,2.96,-11.79,-1.75,-8.14,-6.09,-12.46,-10.52,-6.41
204.122,-0.91,-0.4,1.95,-0.35,3.43,8.36,-8.99,-9.35,-9.94,-17.49,-35.46,-26.72,-30.01
204.598,-12.11,-6.2,-6.25,-2.95,-0.18,-5.04,-7.79,-6.75,-5.94,-13.89,-10.66,-7.32,-11.81
205.074,9.49,2.4,1.35,0.05,4.62,3.76,6.41,15.65,7.26,12.71,19.14,12.08,11.79
205.549,7.69,2,6.35,0.05,1.62,5.56,0.61,4.65,-7.54,-6.69,-4.26,-2.12,-2.21
206.025,-0.71,-5.2,-6.05,-4.15,-11.77,-14.64,0.01,-1.75,-2.14,6.71,4.54,7.28,11.99
206.501,1.89,1,3.55,-0.55,-1.58,5.56,9.21,2.65,6.86,3.31,7.74,14.48,5.79
206.976,4.49,9.4,24.35,25.65,37.43,46.16,-32.79,-38.95,-29.74,-81.89,-91.66,-89.32,-91.61
207.452,8.29,5.6,12.95,9.25,14.23,15.56,3.21,7.25,-6.34,-7.89,-10.66,-18.52,-12.21
207.927,-0.51,0.4,4.35,-0.75,4.23,-0.04,0.01,2.05,-0.14,6.91,3.34,6.08,2.39
208.402,-5.11,-11.8,-9.45,-5.95,-9.78,-7.64,0.21,-2.35,-5.34,-1.89,3.74,-1.52,-0.01
208.878,0.89,1.6,6.95,8.05,3.42,5.76,-13.19,-8.15,-6.14,-9.09,-17.46,-15.92,-18.81
209.353,6.29,9.4,8.15,0.65,3.23,3.16,5.01,7.85,11.86,6.91,13.14,11.88,9.59
209.829,0.49,-0.2,2.75,-4.55,-1.17,4.16,2.01,0.85,-0.94,1.31,-2.46,-0.52,0.19
210.304,2.49,-0.2,-5.05,7.25,11.83,13.36,-6.59,-9.35,-3.54,-10.89,-8.26,-10.72,-17.41
210.779,-0.51,1,9.55,5.65,5.02,10.16,1.61,-4.55,7.06,-10.89,-6.86,-1.92,-5.81
211.254,5.69,-1.2,3.55,3.45,0.23,3.16,2.41,12.25,8.06,5.11,4.34,8.48,11.19
211.73,1.89,5.2,0.95,4.25,9.22,12.56,-0.39,-3.15,-6.34,-11.29,-18.06,-17.52,-11.01
212.205,-3.91,2.2,-8.85,0.45,2.23,10.36,-1.39,0.25,1.66,1.31,-6.06,2.08,-1.41
212.68,-5.51,-8.4,-4.85,-6.75,-3.77,-5.44,-2.59,-5.35,2.26,-10.09,-3.06,-11.32,-0.41
213.155,5.29,1.8,1.15,-5.15,-0.97,4.56,-3.19,4.65,2.26,-1.29,-3.46,0.88,-0.01
213.63,-0.91,4.2,-0.05,-4.55,0.03,-2.64,-3.99,-10.95,-8.14,-10.89,-13.06,-13.72,-9.81
214.105,-4.71,-7,-6.45,-14.55,-13.57,-16.64,-2.79,-8.55,-1.54,0.11,4.14,2.88,6.99
214.58,-2.51,4.8,-7.25,-5.35,-1.98,-0.44,-2.59,-6.75,-6.74,-14.89,-4.66,-8.92,-4.41
215.055,3.09,5.6,4.75,1.65,10.82,5.96,-17.19,5.45,-1.14,-15.09,-13.26,-17.32,-14.01
215.53,4.09,6.6,5.15,-0.55,-3.38,1.76,10.81,0.65,-0.54,1.91,3.54,3.48,4.59
216.005,-12.51,-9,-11.65,-7.15,-6.78,-5.44,-1.19,-10.95,-11.54,-3.69,-7.66,0.68,-1.61
216.48,-6.31,-1.2,-2.45,-0.95,-0.17,-3.44,0.21,-3.95,-3.54,-1.89,0.34,2.48,-1.21
216.954,15.09,9.4,12.15,10.45,8.23,4.36,12.61,15.45,7.86,14.31,17.14,10.28,17.79
217.429,7.69,6,0.75,-1.95,9.03,4.36,7.41,6.25,7.06,12.11,3.54,7.08,9.79
217.904,-12.11,-4.2,-10.25,-5.75,-0.77,-5.24,-5.19,-9.15,-1.54,-8.09,-2.66,0.68,-6.01
218.379,-8.91,1.8,-4.05,6.25,1.62,1.36,0.21,-4.75,4.86,-6.69,-2.26,-6.52,-7.41
218.853,11.09,7.2,11.15,6.65,8.82,12.56,4.41,5.85,-1.94,-5.69,-3.66,-5.52,0.79
219.328,0.69,3.4,-1.45,3.25,0.43,-8.44,0.21,4.65,-2.34,9.71,8.34,-1.32,5.39
219.803,-1.31,2.6,3.35,5.45,5.83,2.16,1.61,-4.95,-1.14,-6.29,-6.46,-5.52,-8.01
220.277,-9.91,-12.8,-6.45,-8.15,-3.57,-1.64,-17.99,-17.15,-18.94,-23.49,-29.46,-27.92,-31.01
220.752,-8.71,-1.8,3.75,-0.55,-4.17,-0.04,-12.39,-7.95,-11.74,-10.49,-15.26,-11.92,-13.41
221.226,-0.31,-3,2.75,-4.95,-2.38,-4.44,-2.99,1.85,-3.34,9.51,-1.06,-1.32,7.39
221.701,-2.31,-6.6,-1.65,-2.55,-1.57,1.16,-13.99,-16.55,-13.94,-21.09,-25.86,-21.52,-24.81
222.175,-2.31,-0.2,-1.25,-0.15,-8.18,-3.04,-2.39,-2.15,0.86,-1.49,1.54,11.08,-1.81
222.65,-0.11,6.8,1.55,-4.55,-4.17,0.96,2.81,6.85,6.26,3.31,8.14,7.68,15.19
223.124,-3.31,-5.2,0.35,-5.75,-1.38,-6.24,-2.79,-1.15,-2.34,0.31,-6.26,-6.32,-8.61
223.598,0.89,2,-5.65,3.05,3.02,3.96,0.81,3.05,4.26,7.11,5.54,4.28,-1.81
224.073,-8.11,-7,-3.65,-1.95,-7.77,-4.04,-1.19,-1.95,7.06,1.91,11.34,11.68,11.19
224.547,-1.91,1.8,8.95,6.45,1.43,3.56,-8.19,-4.95,-2.74,-13.89,-13.06,-8.92,-3.61
225.021,8.89,6.2,11.35,10.05,5.02,4.96,11.41,12.05,7.46,12.91,4.94,9.68,11.99
225.495,-4.31,-0.2,3.75,-1.55,-1.58,2.36,-5.19,-6.55,-0.54,-2.29,-11.26,-0.73,-10.01
225.97,-13.51,-7.2,-10.85,-2.95,-6.38,-10.64,-1.79,0.45,-5.34,-6.69,-0.46,-8.12,-6.41
226.444,-4.11,0,1.15,-9.15,2.42,-5.24,-0.59,5.25,-2.74,-5.89,0.54,3.08,2.59
226.918,2.89,4.8,8.55,2.85,4.03,0.76,12.41,12.85,9.06,15.71,15.94,17.68,21.99
227.392,-0.91,2.4,-5.45,-2.35,-0.97,-4.84,-2.79,-0.95,-4.54,-0.49,-6.26,-1.72,-10.21
227.866,1.49,-4.4,0.55,10.05,1.23,2.36,3.21,3.05,9.66,-2.89,4.34,4.08,2.59
228.34,5.09,-2.2,-0.45,-0.15,-0.57,6.76,-3.39,-5.35,-3.14,-6.49,-7.06,-4.52,-5.41
228.814,10.09,10.6,6.95,0.05,8.42,4.56,7.81,18.25,8.66,19.51,7.94,14.88,10.59
229.288,1.69,0,-6.45,-7.15,-2.98,-0.24,4.41,2.25,2.66,8.51,8.14,9.88,8.19
229.762,-7.91,-2.8,-6.25,1.85,-1.77,1.76,-2.59,0.45,-1.34,-9.09,-0.26,1.28,-7.81
230.236,-1.71,-8.2,2.35,-2.95,-6.77,-0.64,-7.99,-5.95,-11.34,-18.89,-17.06,-16.32,-11.01
230.71,5.89,6.4,9.15,11.25,4.23,12.96,8.81,19.05,6.26,7.51,-2.26,6.28,11.79
231.183,-2.11,7,2.15,-5.35,4.83,9.16,0.81,-4.15,-3.34,-7.09,-12.46,-7.52,-8.21
231.657,-3.71,-5.2,-2.25,2.65,-0.18,3.96,-3.99,-2.15,0.66,-10.09,-11.46,-7.52,-11.81
232.131,3.09,0.8,-0.85,-4.95,1.82,3.76,-4.19,-0.15,7.26,-3.09,2.34,2.68,-0.41
232.605,10.09,2.8,3.55,12.05,14.42,9.56,-3.19,14.45,1.26,1.11,-6.66,-0.92,-6.81
233.078,-2.51,7,0.95,-4.35,7.82,6.16,7.01,0.65,3.46,4.71,4.74,6.28,4.79
233.552,-16.51,-16.4,-12.45,-8.55,-9.78,-13.84,-4.39,-8.95,0.06,-7.69,1.94,-3.32,-10.41
234.026,-2.91,-1.2,-0.65,-3.75,-3.38,-14.04,1.41,2.45,-1.34,7.11,9.34,13.08,11.99
234.499,8.49,11.8,11.55,4.65,12.02,8.36,2.21,3.45,-2.74,-3.89,-14.06,-7.52,-13.21
234.973,4.69,10.2,-1.05,3.05,4.42,6.56,7.61,5.45,4.46,6.11,3.54,5.48,7.79
235.446,-3.91,-7.6,-10.45,2.65,-4.38,2.76,-5.99,-10.55,0.66,-11.49,-10.26,-9.72,-5.01
235.92,-4.71,-4.8,-1.05,-2.55,-2.98,0.16,-0.59,-1.55,0.26,-2.49,0.34,3.48,0.39
236.393,-1.91,-4.8,-6.65,-4.75,-2.18,-4.64,-6.79,-1.55,-1.34,-0.09,-5.46,-1.72,0.79
236.867,6.29,4.2,3.75,8.65,2.62,-0.04,8.01,9.85,4.46,10.51,8.94,11.08,10.99
237.34,-10.71,-4,-8.45,3.45,-5.98,-5.44,2.61,-1.55,0.06,3.11,6.94,5.08,0.99
237.813,-3.91,3.2,2.75,5.45,-3.97,-2.24,-0.19,12.85,5.06,9.71,13.34,9.48,11.99
238.287,4.89,4.2,0.75,2.45,2.03,0.36,9.81,10.45,5.06,10.71,10.54,4.08,10.79
238.76,-0.31,9.2,2.55,1.05,-2.98,6.16,7.81,4.05,8.66,10.71,10.54,10.07,9.79
239.233,1.09,0.4,5.15,6.85,-6.38,0.96,-3.59,-10.55,-3.34,-3.89,-8.26,-0.32,-7.61
239.706,-8.31,-4.8,4.75,0.25,0.62,2.56,-3.99,-5.75,-6.34,-7.69,-4.06,-7.32,-6.61
240.179,-1.11,1.4,2.95,1.45,-1.98,-4.84,4.61,2.45,3.86,4.91,3.94,2.88,6.79
