Wavelength_(nm),Intensity290_(Counts),Intensity270_(Counts),Intensity250_(Counts),Intensity230_(Counts),Intensity210_(Counts),Intensity190_(Counts),Intensity170_(Counts),Intensity150_(Counts),Intensity130_(Counts),Intensity50_(Counts),Intensity30_(Counts),Intensity4_(Counts)
187.928,4.01,1.78,6.3,5.92,2.16,3.43,-2.79,0.99,2.49,0.99,-1.14,3.48
188.405,4.01,1.78,6.3,5.92,2.16,3.43,-2.79,0.99,2.49,0.99,-1.14,3.48
188.882,4.01,1.78,6.3,5.92,2.16,3.43,-2.79,0.99,2.49,0.99,-1.14,3.48
189.359,2.51,-0.02,1.3,0.52,0.36,-1.87,-2.89,-2.31,-4.21,-0.91,0.86,0.18
189.835,-3.29,-1.02,-5.1,0.42,0.06,-4.37,-2.19,-3.91,-3.61,3.69,6.36,4.18
190.312,2.51,0.58,3.3,1.62,-0.54,2.53,3.81,0.79,6.29,0.19,7.96,-1.02
190.789,1.61,7.18,10.7,3.22,5.16,0.63,7.01,3.79,3.79,0.99,-1.64,0.58
191.265,1.41,-0.32,1.7,3.22,3.96,4.93,4.71,1.19,2.39,-1.81,-4.84,-3.12
191.742,-1.29,-4.82,-6.8,0.52,-1.74,2.13,1.61,-3.11,-2.11,-3.51,0.86,0.18
192.219,-2.29,-0.92,-0.7,-3.28,-1.74,-4.67,-2.49,-1.51,-1.91,7.99,3.36,2.48
192.695,-0.49,-0.32,5.5,-4.38,-1.24,-0.57,-1.79,2.39,-2.91,2.89,5.36,2.68
193.172,-2.09,-0.82,-0.8,-2.18,0.86,1.53,-0.19,2.99,-2.31,1.79,-5.54,-0.42
193.648,1.41,1.38,-3.3,1.32,5.16,-0.57,0.91,1.59,-0.41,-1.31,-0.34,2.88
194.125,-0.99,0.48,-2.8,-0.58,-4.04,-2.17,-5.29,0.79,0.99,-6.51,2.66,-3.82
194.601,0.71,2.78,-0.2,0.12,2.66,-1.97,0.91,1.79,0.79,-2.01,-9.44,-1.12
195.077,-2.69,0.38,1.3,0.62,-1.24,0.73,-1.79,-4.91,-0.41,0.89,-3.94,-0.42
195.554,-3.29,-3.02,-5.4,-3.78,-4.54,-0.67,0.51,-0.71,-2.41,1.19,2.36,-1.12
196.03,2.31,-3.32,-5,-3.28,-5.24,0.93,0.01,0.09,3.59,-4.51,-2.94,-5.52
196.506,11.51,4.88,7.3,2.22,6.76,1.33,5.31,6.49,7.59,-6.01,-10.54,-8.12
196.983,-8.99,-5.72,-5.4,-8.68,-1.94,-5.97,-8.49,-10.21,-8.81,-6.51,0.26,3.18
197.459,1.51,-1.42,-5,-3.58,-2.64,-6.07,-3.49,-4.81,-2.81,-0.31,6.26,5.78
197.935,2.71,1.38,-2.5,2.22,0.26,0.03,-0.19,0.59,2.19,0.79,5.36,-1.22
198.411,2.81,2.18,4.9,3.12,0.36,2.03,-2.89,0.19,3.89,4.69,-6.74,2.18
198.887,-2.29,-0.02,4.3,2.42,4.16,5.43,2.21,0.59,-3.71,-1.21,-2.24,0.18
199.363,-2.19,-7.42,-6.8,-3.68,-3.54,-3.97,-0.59,-1.11,-4.81,1.29,5.16,-1.42
199.839,1.81,-1.82,-4.2,0.72,-6.54,-2.57,-1.69,-1.11,-3.81,0.89,4.66,0.68
200.315,-0.39,-1.62,1.9,-1.48,-4.34,-0.87,-0.69,-2.61,-1.81,-4.21,-6.04,2.28
200.791,5.11,-2.62,7.6,4.72,0.66,8.63,6.21,2.79,-0.51,2.09,-1.24,2.98
201.267,7.51,3.98,3,2.82,3.76,7.43,5.51,4.39,3.39,-1.81,1.36,-2.22
201.743,-1.19,-5.82,-0.6,2.22,-0.84,-2.97,2.51,-1.61,3.59,-4.11,-7.94,-4.32
202.219,1.21,-0.82,-1,1.32,1.26,-0.57,2.31,4.59,-5.31,0.99,-8.34,0.68
202.695,-2.09,2.28,2.2,-2.98,3.76,4.43,-2.39,-0.51,1.59,0.39,3.56,3.58
203.171,-2.39,-6.52,-3,-7.68,0.86,1.53,1.11,-7.91,-3.71,-0.21,7.66,-1.12
203.647,-0.09,-7.32,-7.2,-5.78,-2.34,-5.17,-5.49,-3.11,-3.71,-2.21,1.66,3.58
204.122,0.51,-2.52,-1.1,-0.68,-3.84,-2.87,-4.49,-4.91,-1.21,2.39,-0.24,-0.42
204.598,-1.89,0.88,2.2,-1.38,-1.54,-0.97,-1.59,-1.11,-8.11,1.99,5.56,5.68
205.074,3.01,3.98,4.4,4.82,5.46,4.43,5.61,-1.21,1.89,0.89,1.36,2.28
205.549,0.41,-2.22,-3.5,4.32,-1.14,-0.77,-2.19,-0.91,2.89,2.19,1.06,4.68
206.025,4.11,-0.32,-1,-1.98,-3.74,-2.07,-2.49,-1.71,-3.71,-0.31,-6.34,-1.22
206.501,8.01,1.08,10.4,-1.08,4.16,4.13,2.81,1.99,1.69,1.99,4.36,7.68
206.976,1.01,-1.82,1.1,-3.38,0.96,3.03,0.81,-1.71,3.39,-1.51,3.96,-2.52
207.452,-1.19,-1.12,-5.4,2.22,-3.04,-2.47,3.21,-0.81,0.29,-0.71,-4.84,2.88
207.927,1.81,-1.12,-4.3,-2.48,-2.44,0.43,-5.79,-0.01,-2.51,7.69,3.26,3.08
208.402,1.51,2.88,3.9,4.52,2.76,1.63,2.81,4.49,2.89,4.59,8.16,7.68
208.878,1.01,3.68,0.2,-0.38,3.56,5.63,1.11,3.29,-2.21,-2.71,-0.84,-2.92
209.353,-4.29,-5.32,-12.6,-3.28,-0.94,-2.17,-3.39,-4.01,-0.81,0.09,-3.84,-0.82
209.829,-3.49,-4.12,-4.1,0.72,-6.14,-4.27,-0.39,-5.21,-0.71,-1.01,-1.04,1.28
210.304,2.71,0.78,5.2,3.82,1.96,2.33,-1.29,-2.01,-0.81,1.79,4.06,4.18
210.779,2.71,1.98,4.7,8.82,7.96,4.53,6.91,3.29,2.79,-1.61,7.66,1.88
211.254,-3.29,-6.62,-9.5,-3.18,-6.14,-5.97,-5.59,-8.61,-5.61,-0.21,-9.94,-0.52
211.73,3.51,1.68,1,0.92,-1.44,-2.17,0.71,2.89,0.39,-0.51,-1.54,2.38
212.205,0.81,0.08,4.2,-0.28,-0.84,2.23,0.71,2.09,0.59,-0.31,13.66,5.28
212.68,0.01,-3.02,-0.4,-0.18,4.76,4.23,-4.79,-4.11,-0.11,2.99,3.66,-0.62
213.155,2.31,3.08,-1.4,3.32,0.46,3.33,2.71,-3.11,3.99,4.09,-1.74,5.28
213.63,4.11,-4.42,-1.3,0.22,-6.54,0.13,-4.69,-2.21,-2.31,-2.81,-0.34,-0.42
214.105,-3.69,2.68,-0.4,-2.98,-2.64,-3.47,-3.19,-0.81,-2.71,-4.91,3.46,-4.72
214.58,5.81,6.88,2.5,4.32,6.36,4.73,4.71,2.09,6.79,0.49,-0.64,-0.52
215.055,4.11,-1.62,1.6,4.32,5.06,3.03,4.81,-0.61,5.59,2.09,0.96,-0.82
215.53,-1.79,-0.02,-7.5,-0.98,-1.74,-2.87,1.21,-2.61,-0.21,-4.51,-3.14,1.88
216.005,2.51,7.88,2.6,0.62,3.56,1.03,3.21,3.29,-2.51,1.49,4.86,4.88
216.48,-1.39,-4.42,4.7,-5.08,0.86,2.63,-1.09,-0.71,-3.21,-1.51,-2.14,0.88
216.954,-3.39,-3.12,-5.1,-3.28,0.46,-2.67,-1.19,-5.61,-3.51,0.69,-0.64,1.88
217.429,-0.99,-7.92,-6.6,-6.88,-3.34,-6.17,-2.79,-2.11,-5.11,0.49,2.96,4.28
217.904,-0.59,-3.42,-3.8,-4.78,-0.84,0.73,-2.59,-1.41,-2.71,-2.21,0.16,0.88
218.379,1.01,4.88,6.4,5.62,8.36,5.13,8.01,3.19,-0.41,3.59,-3.44,-1.72
218.853,-2.69,-6.92,-4.6,-4.98,-2.94,-3.57,0.11,0.99,-5.11,-4.71,-0.74,-0.32
219.328,-0.99,-1.42,0.9,5.72,-3.14,-1.57,-1.59,-0.91,0.69,-2.41,5.16,1.08
219.803,-6.79,-3.82,-4,-4.98,-3.34,-8.07,-5.39,-5.31,-5.91,5.89,5.66,3.68
220.277,0.41,0.08,4.4,2.12,-1.34,0.23,2.11,-0.81,4.89,-2.31,-2.34,1.78
220.752,-1.69,0.68,-4.7,-4.08,-2.04,0.43,0.41,-3.11,2.39,0.69,-5.04,0.18
221.226,-3.09,-1.22,-8.2,-5.98,-8.34,-3.27,-5.89,-2.41,-7.61,1.29,2.06,5.28
221.701,-2.99,2.68,-2.8,-1.18,-3.14,2.33,-5.09,-2.91,-4.11,1.09,4.66,2.28
222.175,-4.39,-4.92,1.9,-4.48,-1.54,-3.37,-2.79,-4.91,-6.91,-2.21,-9.74,0.68
222.65,1.21,-2.12,-4,0.12,6.76,1.63,-4.19,-5.51,-3.61,-5.51,-0.94,3.28
223.124,-2.69,-0.92,-0.5,-1.88,-2.94,-2.47,-5.49,-2.01,-4.81,-3.21,4.96,-0.12
223.598,-2.59,-2.72,-3,-1.18,-4.04,-5.77,-3.79,-2.61,-7.11,10.79,5.76,4.78
224.073,1.41,3.38,3.3,-2.48,3.86,3.03,2.71,1.29,4.09,2.89,-1.64,-0.32
