 270K,,,250K,,,230K,,,210K,,,190K,,,170K,,,150K,,,130K,,,110K,,,90K,,,70K,,,50K,,,30K,,,10K,,,4K,
Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts),,Wavelength_(nm),Intensity_(Counts)
187.928,9.06,,187.928,-8.12,,187.928,-10.94,,187.928,6.19,,187.928,4.06,,187.928,-6,,187.928,5.12,,187.928,-7.06,,187.928,-12.56,,187.928,0.94,,187.928,-15.75,,187.928,1.44,,187.928,-13.44,,187.928,-3.94,,187.928,-11.94
188.405,9.06,,188.405,-8.12,,188.405,-10.94,,188.405,6.19,,188.405,4.06,,188.405,-6,,188.405,5.12,,188.405,-7.06,,188.405,-12.56,,188.405,0.94,,188.405,-15.75,,188.405,1.44,,188.405,-13.44,,188.405,-3.94,,188.405,-11.94
188.882,9.06,,188.882,-8.12,,188.882,-10.94,,188.882,6.19,,188.882,4.06,,188.882,-6,,188.882,5.12,,188.882,-7.06,,188.882,-12.56,,188.882,0.94,,188.882,-15.75,,188.882,1.44,,188.882,-13.44,,188.882,-3.94,,188.882,-11.94
189.359,-8.94,,189.359,-7.12,,189.359,-3.94,,189.359,15.19,,189.359,-7.94,,189.359,-8,,189.359,8.12,,189.359,-2.06,,189.359,-5.56,,189.359,11.94,,189.359,-9.75,,189.359,-1.56,,189.359,2.56,,189.359,-11.94,,189.359,-8.94
189.835,-6.94,,189.835,-5.12,,189.835,-6.94,,189.835,-8.81,,189.835,5.06,,189.835,4,,189.835,-3.88,,189.835,-3.06,,189.835,-4.56,,189.835,-6.06,,189.835,-0.75,,189.835,-13.56,,189.835,-7.44,,189.835,0.06,,189.835,0.06
190.312,14.06,,190.312,5.88,,190.312,11.06,,190.312,-6.81,,190.312,0.06,,190.312,-13,,190.312,11.12,,190.312,2.94,,190.312,15.44,,190.312,-4.06,,190.312,7.25,,190.312,11.44,,190.312,-2.44,,190.312,5.06,,190.312,11.06
190.789,-6.94,,190.789,1.88,,190.789,3.06,,190.789,-1.81,,190.789,-14.94,,190.789,-5,,190.789,-7.88,,190.789,2.94,,190.789,6.44,,190.789,3.94,,190.789,-4.75,,190.789,0.44,,190.789,-10.44,,190.789,-9.94,,190.789,-4.94
191.265,10.06,,191.265,-9.12,,191.265,7.06,,191.265,7.19,,191.265,-1.94,,191.265,2,,191.265,-5.88,,191.265,10.94,,191.265,2.44,,191.265,5.94,,191.265,3.25,,191.265,-2.56,,191.265,8.56,,191.265,0.06,,191.265,-11.94
191.742,0.06,,191.742,-4.12,,191.742,1.06,,191.742,-1.81,,191.742,-2.94,,191.742,6,,191.742,-4.88,,191.742,-5.06,,191.742,-0.56,,191.742,-10.06,,191.742,14.25,,191.742,-9.56,,191.742,5.56,,191.742,5.06,,191.742,0.06
192.219,4.06,,192.219,-2.12,,192.219,2.06,,192.219,-6.81,,192.219,4.06,,192.219,8,,192.219,18.12,,192.219,-6.06,,192.219,1.44,,192.219,5.94,,192.219,-0.75,,192.219,0.44,,192.219,-5.44,,192.219,9.06,,192.219,4.06
192.695,-17.94,,192.695,-0.12,,192.695,-3.94,,192.695,4.19,,192.695,-0.94,,192.695,8,,192.695,2.12,,192.695,9.94,,192.695,-4.56,,192.695,0.94,,192.695,-1.75,,192.695,-2.56,,192.695,11.56,,192.695,4.06,,192.695,-2.94
193.172,-15.94,,193.172,-7.12,,193.172,1.06,,193.172,8.19,,193.172,-3.94,,193.172,-8,,193.172,-12.88,,193.172,-5.06,,193.172,-3.56,,193.172,2.94,,193.172,14.25,,193.172,-5.56,,193.172,4.56,,193.172,-12.94,,193.172,6.06
193.648,-3.94,,193.648,13.88,,193.648,3.06,,193.648,5.19,,193.648,-1.94,,193.648,2,,193.648,-1.88,,193.648,-11.06,,193.648,1.44,,193.648,-19.06,,193.648,5.25,,193.648,9.44,,193.648,12.56,,193.648,3.06,,193.648,4.06
194.125,14.06,,194.125,15.88,,194.125,-1.94,,194.125,-6.81,,194.125,13.06,,194.125,8,,194.125,3.12,,194.125,4.94,,194.125,4.44,,194.125,5.94,,194.125,-10.75,,194.125,-0.56,,194.125,-12.44,,194.125,-0.94,,194.125,6.06
194.601,-2.94,,194.601,1.88,,194.601,9.06,,194.601,-12.81,,194.601,8.06,,194.601,8,,194.601,-1.88,,194.601,4.94,,194.601,-14.56,,194.601,-0.06,,194.601,-5.75,,194.601,14.44,,194.601,0.56,,194.601,-0.94,,194.601,-12.94
195.077,6.06,,195.077,1.88,,195.077,4.06,,195.077,6.19,,195.077,9.06,,195.077,-1,,195.077,-11.88,,195.077,2.94,,195.077,10.44,,195.077,5.94,,195.077,1.25,,195.077,-1.56,,195.077,6.56,,195.077,0.06,,195.077,12.06
195.554,0.06,,195.554,1.88,,195.554,1.06,,195.554,-9.81,,195.554,-4.94,,195.554,-6,,195.554,-4.88,,195.554,4.94,,195.554,0.44,,195.554,4.94,,195.554,10.25,,195.554,0.44,,195.554,0.56,,195.554,11.06,,195.554,10.06
196.03,6.06,,196.03,-0.12,,196.03,-14.94,,196.03,3.19,,196.03,-3.94,,196.03,1,,196.03,8.12,,196.03,-5.06,,196.03,3.44,,196.03,-10.06,,196.03,-5.75,,196.03,-0.56,,196.03,-1.44,,196.03,3.06,,196.03,0.06
196.506,1.06,,196.506,-6.12,,196.506,9.06,,196.506,10.19,,196.506,-2.94,,196.506,-18,,196.506,-2.88,,196.506,4.94,,196.506,-6.56,,196.506,-8.06,,196.506,2.25,,196.506,14.44,,196.506,3.56,,196.506,3.06,,196.506,-2.94
196.983,-11.94,,196.983,-6.12,,196.983,-0.94,,196.983,10.19,,196.983,-6.94,,196.983,-10,,196.983,-3.88,,196.983,8.94,,196.983,3.44,,196.983,9.94,,196.983,8.25,,196.983,-13.56,,196.983,5.56,,196.983,-1.94,,196.983,-5.94
197.459,-19.94,,197.459,-3.12,,197.459,7.06,,197.459,-6.81,,197.459,5.06,,197.459,-2,,197.459,8.12,,197.459,-12.06,,197.459,-7.56,,197.459,-6.06,,197.459,3.25,,197.459,0.44,,197.459,9.56,,197.459,-6.94,,197.459,4.06
197.935,-1.94,,197.935,6.88,,197.935,7.06,,197.935,3.19,,197.935,7.06,,197.935,-2,,197.935,1.12,,197.935,-17.06,,197.935,3.44,,197.935,-5.06,,197.935,4.25,,197.935,-3.56,,197.935,-0.44,,197.935,5.06,,197.935,4.06
198.411,8.06,,198.411,-0.12,,198.411,-2.94,,198.411,-6.81,,198.411,5.06,,198.411,-3,,198.411,6.12,,198.411,7.94,,198.411,0.44,,198.411,2.94,,198.411,-22.75,,198.411,-1.56,,198.411,-5.44,,198.411,-6.94,,198.411,-2.94
198.887,-14.94,,198.887,-8.12,,198.887,3.06,,198.887,7.19,,198.887,6.06,,198.887,-4,,198.887,-1.88,,198.887,-7.06,,198.887,-3.56,,198.887,1.94,,198.887,0.25,,198.887,-0.56,,198.887,9.56,,198.887,-8.94,,198.887,9.06
199.363,-13.94,,199.363,-4.12,,199.363,-1.94,,199.363,6.19,,199.363,6.06,,199.363,6,,199.363,-4.88,,199.363,1.94,,199.363,-7.56,,199.363,-7.06,,199.363,8.25,,199.363,-3.56,,199.363,4.56,,199.363,-6.94,,199.363,0.06
199.839,-3.94,,199.839,4.88,,199.839,-10.94,,199.839,1.19,,199.839,2.06,,199.839,-7,,199.839,-5.88,,199.839,-10.06,,199.839,-2.56,,199.839,6.94,,199.839,2.25,,199.839,-1.56,,199.839,-6.44,,199.839,11.06,,199.839,-0.94
200.315,12.06,,200.315,-0.12,,200.315,-6.94,,200.315,9.19,,200.315,8.06,,200.315,-1,,200.315,-0.88,,200.315,2.94,,200.315,6.44,,200.315,-2.06,,200.315,8.25,,200.315,14.44,,200.315,-7.44,,200.315,14.06,,200.315,-3.94
200.791,-9.94,,200.791,-9.12,,200.791,-2.94,,200.791,1.19,,200.791,3.06,,200.791,1,,200.791,-5.88,,200.791,-2.06,,200.791,-0.56,,200.791,0.94,,200.791,-1.75,,200.791,-5.56,,200.791,2.56,,200.791,-10.94,,200.791,-2.94
201.267,-9.94,,201.267,-7.12,,201.267,1.06,,201.267,-1.81,,201.267,-2.94,,201.267,0,,201.267,2.12,,201.267,-16.06,,201.267,20.44,,201.267,-7.06,,201.267,-11.75,,201.267,-7.56,,201.267,11.56,,201.267,4.06,,201.267,7.06
201.743,0.06,,201.743,-21.12,,201.743,-10.94,,201.743,-12.81,,201.743,1.06,,201.743,-8,,201.743,6.12,,201.743,4.94,,201.743,6.44,,201.743,-2.06,,201.743,8.25,,201.743,-7.56,,201.743,-3.44,,201.743,-8.94,,201.743,6.06
202.219,17.06,,202.219,-7.12,,202.219,-4.94,,202.219,0.19,,202.219,4.06,,202.219,-6,,202.219,2.12,,202.219,-0.06,,202.219,-4.56,,202.219,6.94,,202.219,5.25,,202.219,1.44,,202.219,2.56,,202.219,4.06,,202.219,1.06
202.695,-5.94,,202.695,10.88,,202.695,2.06,,202.695,9.19,,202.695,12.06,,202.695,2,,202.695,-6.88,,202.695,5.94,,202.695,1.44,,202.695,24.94,,202.695,5.25,,202.695,-0.56,,202.695,11.56,,202.695,6.06,,202.695,-2.94
203.171,-0.94,,203.171,-8.12,,203.171,-5.94,,203.171,3.19,,203.171,-16.94,,203.171,10,,203.171,2.12,,203.171,-0.06,,203.171,2.44,,203.171,-13.06,,203.171,12.25,,203.171,-0.56,,203.171,3.56,,203.171,6.06,,203.171,10.06
